jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
1,0,26820070900,54,16480,10370,24272,33709,8838,10440,6315,8399,0
1,0,26928493800,69,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,27036428300,22,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,27146874500,64,16480,10370,24272,33709,8838,10440,6315,8399,0
0,0,27256322400,98,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27365550500,16,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27476121900,-3,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27585306900,-52,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27695852200,-12,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27804901000,4,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,27914773400,35,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,28023985600,137,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,28134078800,-43,21841,14002,16671,36877,15865,16651,11670,10218,0
0,0,28243886700,6,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28352526700,68,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28460405800,58,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28569323700,55,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28678813500,60,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28789088200,42,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,28896812600,18,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,29008612000,0,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,29119793700,114,20684,29246,63783,10517,14723,8051,10416,4284,0
0,0,29229106300,-26,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29339195100,-263,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29447430500,32,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29558281300,193,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29666666900,59,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29777727100,66,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29886805900,-12,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,29995479500,60,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,30104747500,32,56696,33887,23723,19998,16561,10489,4650,6820,0
0,0,30214008700,44,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30324421800,96,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30432909200,58,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30543113800,11,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30653149100,44,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30762247300,76,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,30870824900,36,154947,68274,17938,6346,3462,2337,1817,1900,0
1,0,30981518700,52,154947,68274,17938,6346,3462,2337,1817,1900,0
1,0,31091806500,32,154947,68274,17938,6346,3462,2337,1817,1900,0
0,0,31202426300,0,48083,8769,3776,28222,30533,6979,4066,9424,0
0,0,31311891700,66,48083,8769,3776,28222,30533,6979,4066,9424,0
0,0,31421156400,50,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,31530036400,118,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,31643882800,32,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,31753389800,55,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,31862798600,48,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,31974328600,18,48083,8769,3776,28222,30533,6979,4066,9424,0
0,1,32084334100,32,48083,8769,3776,28222,30533,6979,4066,9424,0
1,1,32192436800,4,6628,75203,13365,88827,22207,9794,9053,6715,0
1,1,32300929900,32,6628,75203,13365,88827,22207,9794,9053,6715,0
1,1,32410477000,28,6628,75203,13365,88827,22207,9794,9053,6715,0
0,1,32518967200,68,6628,75203,13365,88827,22207,9794,9053,6715,0
0,1,32629116700,13,6628,75203,13365,88827,22207,9794,9053,6715,0
0,1,32738140600,55,6628,75203,13365,88827,22207,9794,9053,6715,0
